,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
41,306.6291027069092,74.59603627522786,0.06743857168110305,0.06844412738264889,0.1,5,poly,"{'C': 0.1, 'degree': 5, 'kernel': 'poly'}",72,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.09638874137015402,0.09923158452570217,2.5084676561727446,0.942104409951945,0.02044915628343062,0.021770020479317566
42,318.8834767341614,76.35155256589253,0.060367686052678095,0.06151072339042138,0.1,5,rbf,"{'C': 0.1, 'degree': 5, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,2.9771241072097685,0.9588072812784395,0.010438801573328093,0.011964707141272648
43,314.6003680229187,74.67847148577373,0.060367686052678095,0.06146656158155369,0.1,5,sigmoid,"{'C': 0.1, 'degree': 5, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,2.198697265641489,1.3281345000320028,0.010438801573328093,0.011902252919469787
44,272.8703027566274,71.27497442563374,0.4939013611454835,0.5064897353921083,0.1,6,linear,"{'C': 0.1, 'degree': 6, 'kernel': 'linear'}",51,0.48,0.4921077065923863,0.49165120593692024,0.5035141227953852,0.5100902814657462,0.5238473767885533,2.4397678499001425,1.1953528113998801,0.012385632460132487,0.013127385339680709
45,311.9705859025319,67.7777868906657,0.06293088209298214,0.06376297564267364,0.1,6,poly,"{'C': 0.1, 'degree': 6, 'kernel': 'poly'}",95,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.08284652150823155,0.08518812930577636,2.2246387566287233,3.289557134122951,0.014067554648538283,0.015149872532335625
46,312.2494750022888,74.89234360059102,0.060367686052678095,0.06151072339042138,0.1,6,rbf,"{'C': 0.1, 'degree': 6, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,2.6136613856592104,0.8581361820693687,0.010438801573328093,0.011964707141272648
47,304.79004430770874,70.77171142896016,0.060367686052678095,0.06146656158155369,0.1,6,sigmoid,"{'C': 0.1, 'degree': 6, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.742592172335013,1.2106273247140928,0.010438801573328093,0.011902252919469787
48,128.61655886967978,58.91174070040385,0.7757645395085735,0.8120027025063837,1,1,linear,"{'C': 1, 'degree': 1, 'kernel': 'linear'}",32,0.7904635761589405,0.8068709377901578,0.7598727802809435,0.8181938734915793,0.7769516728624535,0.8109432962374139,0.8896170076727368,0.9242703359278702,0.012521164167381598,0.004682874790601805
49,297.86729645729065,69.17957806587219,0.060367686052678095,0.06146656158155369,1,1,poly,"{'C': 1, 'degree': 1, 'kernel': 'poly'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,3.541055571163516,0.5215424698821953,0.010438801573328093,0.011902252919469787
50,306.30733847618103,76.13227121035258,0.060367686052678095,0.06151072339042138,1,1,rbf,"{'C': 1, 'degree': 1, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,1.9147956355671092,0.36584375704034505,0.010438801573328093,0.011964707141272648
